Category,Revenue,AnalysisType
BTL,104723.3819462657,Revenue by Region
BTL HVC,139885.74135684967,Revenue by Region
Bonus MyVoucher Acq,134428.70071268082,Revenue by Region
HYPER COMBO,31586.72672688961,Revenue by Region
Home Core - Orbit Regular,262126.1709150672,Revenue by Region
Hot Promo,344528.54513680935,Revenue by Region
Internet Sakti,732066.8914372921,Revenue by Region
InternetMAX,294231.3223091364,Revenue by Region
Ketengan,70390.89595293999,Revenue by Region
Modern Channel,160589.7503925562,Revenue by Region
Promo Sakti,6842.264803767204,Revenue by Region
Regular,2937.4662996530533,Revenue by Region
Super Seru,229420.61223739386,Revenue by Region
Telkomsel Lite,63146.70810955763,Revenue by Region
Voucher Fisik Enrich,6049.998276770115,Revenue by Region
Voucher Fisik Revamp 2021,586911.6635481715,Revenue by Region
Voucher Fisik Revamp 2023,524171.5564522147,Revenue by Region
Voucher Fisik Warchest,23805.995537757874,Revenue by Region
Weekly,36685.4052631855,Revenue by Region
bqsv and sqsv,129120.74826151133,Revenue by Region
bqsv sqsv,30856.161594450474,Revenue by Region
ketengan,-21777.33677124977,Revenue by Region
omg core combo,-74701.45460104942,Revenue by Region
